date;stadium;time;home_team;away_team;home_score;away_score;attendance;average_ticket_price
23/04/18;Ilha do Retiro;20h00;Sport;Botafogo;1;1;5151;19
13/06/18;Durival Britto;19h30;Paraná;Cruzeiro;1;1;5131;21
08/09/18;Ilha do Retiro;16h00;Sport;Cruzeiro;0;0;5099;10
30/04/18;Independência;20h00;América-MG;Vitória;2;1;5022;12
05/10/18;Ilha do Retiro;19h00;Sport;Internacional;2;1;4975;10
20/05/18;Independência;16h00;América-MG;Botafogo;1;0;4885;11
12/08/18;Durival Britto;11h00;Paraná;Botafogo;1;1;4831;19
27/05/18;Engenhão;16h00;Botafogo;Vitória;1;1;4759;27
13/06/18;Independência;16h00;América-MG;Chapecoense;0;0;4757;7
24/09/18;Arena Condá;20h00;Chapecoense;Fluminense;1;2;4528;22
20/10/18;Independência;16h00;América-MG;Grêmio;1;1;4511;9
09/09/18;Durival Britto;19h00;Paraná;Santos;0;2;4504;34
06/09/18;Independência;20h00;América-MG;Vasco;2;1;4447;10
21/10/18;Engenhão;16h00;Fluminense;Atlético-MG;1;0;4404;18
21/10/18;Durival Britto;19h00;Paraná;Flamengo;0;4;4271;63
30/05/18;São Januário;19h30;Vasco;Paraná;1;0;4221;24
07/06/18;Durival Britto;20h00;Paraná;Bahia;1;0;4153;18
17/11/18;Barradão;19h00;Vitória;Atlético-PR;1;2;4075;15
13/05/18;Vila Belmiro;19h00;Santos;Paraná;3;1;3971;35
02/09/18;Arena Condá;19h00;Chapecoense;Palmeiras;1;2;3958;46
05/08/18;Ilha do Retiro;19h00;Sport;Chapecoense;1;1;3938;20
03/06/18;Vila Belmiro;16h00;Santos;Vitória;5;2;3887;21
27/05/18;Independência;19h00;América-MG;São Paulo;1;3;3883;16
10/11/18;Independência;17h00;América-MG;Paraná;0;1;3692;8
09/09/18;Independência;16h00;América-MG;Ceará;0;0;3641;10
13/09/18;Arena Condá;20h00;Chapecoense;Atlético-PR;2;1;3560;21
04/06/18;Durival Britto;20h00;Paraná;Fluminense;2;1;3491;19
26/07/18;Independência;20h00;América-MG;Internacional;2;1;3458;9
19/08/18;Independência;19h00;América-MG;Fluminense;0;0;3443;9
05/05/18;São Januário;19h00;Vasco;América-MG;4;1;3311;27
03/06/18;Independência;16h00;América-MG;Atlético-PR;3;1;3272;9
15/04/18;Independência;11h00;América-MG;Sport;3;0;3230;11
22/07/18;Durival Britto;16h00;Paraná;América-MG;1;0;3217;19
01/10/18;Durival Britto;20h00;Paraná;Vasco;1;1;3210;31
13/05/18;São Januário;16h00;Vasco;Vitória;2;3;3143;25
05/09/18;Durival Britto;21h00;Paraná;Chapecoense;1;1;2239;15
14/11/18;Durival Britto;21h00;Paraná;Atlético-MG;0;1;1140;20
04/11/18;Durival Britto;17h00;Paraná;Vitória;1;1;931;16
